GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,players_list
Lineups,-200768-201567-202710-1631170-1631288-,K. Lowry - K. Love - J. Butler - J. Jaquez Jr. - J. Cain,2,1,1,0.5,2.8,1.0,4.0,0.25,0.0,1.5,0.0,2.5,2.5,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,2.5,4.5,-4.0,"'K. Lowry', 'K. Love', 'J. Butler', 'J. Jaquez Jr.', 'J. Cain'"
Lineups,-200768-201567-202710-1626196-1628997-,K. Lowry - K. Love - J. Butler - J. Richardson - C. Martin,2,1,1,0.5,2.8,2.0,3.5,0.571,0.5,1.5,0.333,2.0,2.0,1.0,0.0,1.0,1.0,1.5,1.5,0.0,0.5,0.5,1.0,1.0,6.5,-2.5,"'K. Lowry', 'K. Love', 'J. Butler', 'J. Richardson', 'C. Martin'"
Lineups,-200768-201567-1629639-1631107-1631170-,K. Lowry - K. Love - T. Herro - N. Jovic - J. Jaquez Jr.,2,2,0,1.0,2.8,4.0,6.5,0.615,1.0,1.5,0.667,1.0,3.0,0.333,1.5,1.5,3.0,3.5,0.5,1.5,0.5,0.5,2.5,2.0,10.0,4.0,"'K. Lowry', 'K. Love', 'T. Herro', 'N. Jovic', 'J. Jaquez Jr.'"
Lineups,-1626179-1626196-1628389-1629639-1631170-,T. Rozier - J. Richardson - B. Adebayo - T. Herro - J. Jaquez Jr.,2,2,0,1.0,2.8,3.0,5.5,0.545,1.0,3.5,0.286,0.0,0.0,0.0,0.5,1.5,2.0,1.5,0.5,0.5,0.5,0.0,1.0,0.0,7.0,0.0,"'T. Rozier', 'J. Richardson', 'B. Adebayo', 'T. Herro', 'J. Jaquez Jr.'"
Lineups,-202710-1626196-1628418-1629312-1629639-,J. Butler - J. Richardson - T. Bryant - H. Highsmith - T. Herro,2,0,2,0.0,2.7,3.0,5.0,0.6,1.0,1.5,0.667,1.0,2.0,0.5,1.0,2.5,3.5,2.0,0.5,0.0,0.0,1.0,0.5,1.0,8.0,1.0,"'J. Butler', 'J. Richardson', 'T. Bryant', 'H. Highsmith', 'T. Herro'"
Lineups,-201567-202710-1626179-1629312-1631170-,K. Love - J. Butler - T. Rozier - H. Highsmith - J. Jaquez Jr.,4,2,2,0.5,2.7,2.0,4.0,0.5,0.3,1.3,0.2,2.5,3.0,0.833,0.5,2.8,3.3,1.5,0.8,0.0,0.0,0.3,1.0,1.8,6.8,1.0,"'K. Love', 'J. Butler', 'T. Rozier', 'H. Highsmith', 'J. Jaquez Jr.'"
Lineups,-200768-1628997-1629130-1631115-1631170-,K. Lowry - C. Martin - D. Robinson - O. Robinson - J. Jaquez Jr.,1,0,1,0.0,2.7,4.0,6.0,0.667,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,11.0,6.0,"'K. Lowry', 'C. Martin', 'D. Robinson', 'O. Robinson', 'J. Jaquez Jr.'"
Lineups,-200768-1626196-1628418-1628997-1629639-,K. Lowry - J. Richardson - T. Bryant - C. Martin - T. Herro,1,1,0,1.0,2.7,3.0,6.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,2.0,"'K. Lowry', 'J. Richardson', 'T. Bryant', 'C. Martin', 'T. Herro'"
Lineups,-200768-201567-1628389-1629639-1631170-,K. Lowry - K. Love - B. Adebayo - T. Herro - J. Jaquez Jr.,2,0,2,0.0,2.7,1.5,3.0,0.5,0.0,1.0,0.0,2.5,4.0,0.625,0.5,0.5,1.0,1.5,0.5,0.0,0.0,0.0,1.0,2.5,5.5,-1.5,"'K. Lowry', 'K. Love', 'B. Adebayo', 'T. Herro', 'J. Jaquez Jr.'"
Lineups,-200768-201567-1629130-1629639-1631288-,K. Lowry - K. Love - D. Robinson - T. Herro - J. Cain,2,1,1,0.5,2.7,3.5,5.0,0.7,1.5,2.5,0.6,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.5,1.0,0.0,0.0,1.5,0.0,8.5,-1.0,"'K. Lowry', 'K. Love', 'D. Robinson', 'T. Herro', 'J. Cain'"
Lineups,-1626179-1628389-1628997-1629130-1629312-,T. Rozier - B. Adebayo - C. Martin - D. Robinson - H. Highsmith,1,0,1,0.0,2.7,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,-3.0,"'T. Rozier', 'B. Adebayo', 'C. Martin', 'D. Robinson', 'H. Highsmith'"
